Contrato,Nota de Empenho,CNPJ,Razão Social,Data da Assinatura,Início da Vigência,Término da Vigência,Objeto,Aditivos,Valor Total do Contrato
00095/2020,2020NE800449,36845791000106,ACG SERVICOS E TRANSPORTES LTDA,23 de set. de 2020,23 de set. de 2020,23 de mar. de 2021,SERVIÇO DE SANITIZAÇÃO AMBIENTAL.,0,"R$ 36.000,00"
95/2020,2020NE800449,36845791000106,ACG SERVICOS E TRANSPORTES LTDA,23 de set. de 2020,23 de set. de 2020,23 de mar. de 2021,SERVIÇO DE SANITIZAÇÃO AMBIENTAL.,0,"R$ 36.000,00"
00035/2020,2020NE800774,10159093000236,VIMEZER FORNC DE SERV LTDA,27 de ago. de 2020,27 de ago. de 2020,23 de fev. de 2021,"AQUISIÇÃO EMERGÊNCIAL DE MATERIAIS DE CONSTRUÇÃO E MATERIAIS ELÉTRICOS., VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO EM COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS RESPONSÁVEL PELO SURTO DE 2020",0,"R$ 85.080,50"
35/2020,2020NE800774,10159093000236,VIMEZER FORNC DE SERV LTDA,27 de ago. de 2020,27 de ago. de 2020,23 de fev. de 2021,"AQUISIÇÃO EMERGÊNCIAL DE MATERIAIS DE CONSTRUÇÃO E MATERIAIS ELÉTRICOS., VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO EM COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS RESPONSÁVEL PELO SURTO DE 2020",0,"R$ 85.080,50"
00037/2020,2020NE800776,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,21 de ago. de 2020,21 de ago. de 2020,24 de dez. de 2020,"PRESTAÇÃO DE SERVIÇO DE LOCAÇÃO DE MOBILIÁRIO HOSPITALAR E ADMINISTRATIVO, AO HOSPITAL DE CAMPANHA-RR COM MANUTENÇÃO PELO PERÍODO DE 6 MESES E DOAÇÃO AO FINAL DA LOCAÇÃO DE 6 MESES, SEM QUAISQUER RESTRIÇÕES QUANTO A EFEITOS PATRIMONIAIS E FINANCEIROS, CONFORME DECRETO Nº 9.764, DE 11 DE ABRIL DE 2019. ",0,"R$ 3.030.451,20"
37/2020,2020NE800776,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,21 de ago. de 2020,21 de ago. de 2020,17 de fev. de 2021,"PRESTAÇÃO DE SERVIÇO DE LOCAÇÃO DE MOBILIÁRIO HOSPITALAR E ADMINISTRATIVO, AO HOSPITAL DE CAMPANHA-RR COM MANUTENÇÃO PELO PERÍODO DE 6 MESES E DOAÇÃO AO FINAL DA LOCAÇÃO DE 6 MESES, SEM QUAISQUER RESTRIÇÕES QUANTO A EFEITOS PATRIMONIAIS E FINANCEIROS, CONFORME DECRETO Nº 9.764, DE 11 DE ABRIL DE 2019. ",0,"R$ 3.030.451,32"
59/2020,2020NE801237,17206992000100,A. F. P. COSTA,20 de ago. de 2020,20 de ago. de 2020,19 de nov. de 2020,"CONTRATAÇÃO DE SERVIÇO DE IMPRESSÃO (OUTSOURCING) COM FORNECIMENTO DE EQUIPAMENTOS, INSUMOS E MANUTENÇÃO PREVENTIVA E CORRETIVA.  ",4,"R$ 10.195,20"
00059/2020,2020NE801237,17206992000100,A. F. P. COSTA,20 de ago. de 2020,20 de ago. de 2020,31 de dez. de 2020,"CONTRATAÇÃO DE SERVIÇO DE IMPRESSÃO (OUTSOURCING) COM FORNECIMENTO DE EQUIPAMENTOS, INSUMOS E MANUTENÇÃO PREVENTIVA E CORRETIVA.  ",4,"R$ 10.195,20"
26/2020,2020NE800706,4048294000182,COMACO MATERIAIS DE CONSTRUCAO LTDA,18 de ago. de 2020,18 de ago. de 2020,13 de fev. de 2021,AQUISIÇÃO EMERGENCIAL DE MATERIAIS ELÉTRICOS VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO EM COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS RESPONSÁVEL PELO SURTO DE 2020.,0,"R$ 4.115,00"
33/2020,2020NE800735,6185371000171,PAU BRASIL MADEIREIRA E MATERIAIS DE CONSTRUCAO EIRELI,18 de ago. de 2020,18 de ago. de 2020,13 de fev. de 2021,AQUISIÇÃO EMERGÊNCIAL DE FERRAMENTAL PARA APLICAÇÃO NA CONSTRUÇÃO CIVIL VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO EM COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS RESPONSÁVEL PELO SURTO DE 2020.,0,"R$ 13.782,00"
