Status,Data,Código do Item,CNPJ,Razão Social,Descrição do Item,Unidade de Fornecimento,Quantidade,Valor Unitário,Valor Total do Item
Encerrado,31 de dez. de 2020,1601660600084202000001,18099364000136,J J COMERCIO E SERVICOS DE EQUIPAMENTOS DE SEGURANCA LTDA,SISTEMA SONORIZAÇÃO,UNIDADE,1,115990,115990
Encerrado,31 de dez. de 2020,1601660600084202000002,18099364000136,J J COMERCIO E SERVICOS DE EQUIPAMENTOS DE SEGURANCA LTDA,MANUTENÇÃO CENTRAL DE CHAMADA,UNIDADE,1,115990,115990
Encerrado,29 de dez. de 2020,1601430600121202000003,19852529000161,NOVA SAUDE PRODUTOS MEDICOS II EIRELI,LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,CAIXA,2500,75,187500
Encerrado,29 de dez. de 2020,1601430600121202000002,19852529000161,NOVA SAUDE PRODUTOS MEDICOS II EIRELI,LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,CAIXA,1500,75,112500
Encerrado,29 de dez. de 2020,1601430600121202000001,19852529000161,NOVA SAUDE PRODUTOS MEDICOS II EIRELI,LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,CAIXA,1000,75,75000
Encerrado,24 de dez. de 2020,1601210600095202000001,35820448003070,WHITE MARTINS GASES INDUSTRIAIS LTDA,GÁS COMPRIMIDO,METRO CÚBICO,5000,27,135000
Encerrado,23 de dez. de 2020,1603530600032202000052,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,"INSTALAÇÃO , MANUTENÇÃO , OPERAÇÃO , LOCAÇÃO  -  EQUIPAMENTODE LUZ , IMAGEM , SOM",UNIDADE,5640,52.8,297792
Encerrado,23 de dez. de 2020,1603530600032202000023,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,LOCAÇÃO BENS MÓVEIS,UNIDADE,300,940.8,282240
Encerrado,23 de dez. de 2020,1603530600032202000053,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,"INSTALAÇÃO , MANUTENÇÃO , OPERAÇÃO , LOCAÇÃO  -  EQUIPAMENTODE LUZ , IMAGEM , SOM",UNIDADE,4800,43.2,207360
Encerrado,23 de dez. de 2020,1603530600032202000018,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,LOCAÇÃO DE MOBILIÁRIO HOSPITALAR,UNIDADE,48,3828.86,183785.28
Encerrado,23 de dez. de 2020,1603530600032202000020,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,LOCAÇÃO DE MOBILIÁRIO HOSPITALAR,UNIDADE,720,205.71,148111.2
Encerrado,23 de dez. de 2020,1603530600032202000027,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,LOCAÇÃO BENS MÓVEIS,UNIDADE,258,528,136224
Encerrado,23 de dez. de 2020,1603530600032202000017,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,LOCAÇÃO DE MOBILIÁRIO HOSPITALAR,UNIDADE,108,1233.35,133201.8
Encerrado,23 de dez. de 2020,1603530600032202000001,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,LOCAÇÃO BENS MÓVEIS,UNIDADE,330,323.98,106913.4
Encerrado,23 de dez. de 2020,1603530600032202000040,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,LOCAÇÃO DE MOBILIÁRIO HOSPITALAR,UNIDADE,180,500.7,90126
Encerrado,23 de dez. de 2020,1603530600032202000022,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,LOCAÇÃO BENS MÓVEIS,UNIDADE,204,441.79,90125.16
Encerrado,23 de dez. de 2020,1603530600032202000031,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,LOCAÇÃO BENS MÓVEIS,UNIDADE,36,2496,89856
Encerrado,23 de dez. de 2020,1603530600032202000056,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,LOCAÇÃO BENS MÓVEIS,UNIDADE,16,5180.01,82880.16
Encerrado,23 de dez. de 2020,1603530600032202000060,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,LOCAÇÃO BENS MÓVEIS,UNIDADE,330,213.53,70464.9
Encerrado,23 de dez. de 2020,1603530600032202000013,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,LOCAÇÃO BENS MÓVEIS,UNIDADE,1140,58.91,67157.4
