Compra,Modalidade da Compra,Processo,Código da UASG,Nome da UASG,Município/UF,Objeto,Itens,Contratos,Valor Total da Compra
33/2020,Dispensa de Licitação,64273011272202060,160016,COMANDO DO COMANDO MILITAR DA AMAZONIA/MEX/AM,Manaus/AM,"CONTRATAÇÃO DE SERVIÇOS DE LOCAÇÃO DE ESTRUTURAS E EQUIPAMENTOS DE APOIO LOGÍSTICO – OVERLAYS, PARA ATENDER À NECESSIDADE DA FORÇA TERRESTRE LOGÍSTICA HUMANITÁRIA NAS AÇÕES DE COMBATE AO COVID-19, DE ACORDO COM A LEI 13.979/20.",42,1,47950632
6/2020,Dispensa de Licitação,64447005728202013,160069,COMANDO LOGISTICO,Brasília/DF,AQUISIÇÃO DE COMBUSTÍVEL AUTOMOTIVO.,2,0,17499996.990000002
13/2020,Dispensa de Licitação,64447007195202012,160069,COMANDO LOGISTICO,Brasília/DF,"AQUISIÇÃO DE VIATURA AMBULÂNCIA OPERACIONAL SIMPLES REMOÇÃO,4X4, 7,2 M³, OPERACIONAL.",1,1,11865840
7/2020,Dispensa de Licitação,64447006226202018,160069,COMANDO LOGISTICO,Brasília/DF,"AQUISIÇÃO DE MATERIAIS DE CONSUMO MÉDICO HOSPITALARES E DE PROTEÇÃO INDIVIDUAL, PARA O COMBATE À PANDEMIA DE COVID-19 NO ÂMBITO DO EXÉRCITO.",14,0,11807845.42
36/2020,Dispensa de Licitação,64576005744202031,160088,HOSPITAL MILITAR DE ÁREA DE BRASÍLIA,Brasília/DF,"SERVIÇO DE GERENCIAMENTO TÉCNICO ADMINISTRATIVO, FORNECIMENTO DE MÃO DE OBRA, RECURSOS MATERIAIS, INSUMOS, MANUTENÇÃO PREVENTIVA E CORRETIVA DE EQUIPAMENTOS E OUTROS NECESSÁRIOS PARA O FUNCIONAMENTO DE 10 (DEZ) LEITOS DO CENTRO DE TERAPIA INTENSIVA (CTI) DO HMAB, POR UM PERÍODO INICIAL DE 06 (SEIS) MESES, EM CARÁTER EMERGENCIAL DE SAÚDE PÚBLICA, DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO NOVO CORONAVÍRUS.",1,1,6747660
32/2020,Dispensa de Licitação,60215002961202017,160353,6 BATALHAO DE ENGENHARIA DE CONSTRUCAO/RR,Boa Vista/RR,"PRESTAÇÃO DE SERVIÇO DE LOCAÇÃO DE MOBILIÁRIO HOSPITALAR E ADMINISTRATIVO, AO HOSPITAL DE CAMPANHA-RR COM MANUTENÇÃO PELO PERÍODO DE 6 MESES E DOAÇÃO AO FINAL DA LOCAÇÃO DE 6 MESES, SEM QUAISQUER RESTRIÇÕES QUANTO A EFEITOS PATRIMONIAIS E FINANCEIROS, CONFORME DECRETO Nº 9.764, DE 11 DE ABRIL DE 2019. ",60,1,6060902.640000004
12/2020,Dispensa de Licitação,64447008014202067,160069,COMANDO LOGISTICO,Brasília/DF,AQUISIÇÃO DE VENTILADORES PULMONARES PARA O COMBATE À PANDEMIA DE COVID-19 NO ÂMBITO DO MINISTÉRIO DA DEFESA.,1,0,6000000
4/2020,Dispensa de Licitação,32,160014,COMANDO 12 REGIAO MILITAR/MEX/AM,Manaus/AM,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO DE BENS MÓVEIS VISANDO COMBATE À PANDEMIA DO NOVO CORONAVÍRUS (COVID-19).,1,0,3556380
2/2020,Dispensa de Licitação,27,160014,COMANDO 12 REGIAO MILITAR/MEX/AM,Manaus/AM,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO DE ESTRUTURA HOSPITALAR VISANDO COMBATE A PANDEMIA DO COVID-19.,1,1,3556380
33/2020,Dispensa de Licitação,64581023091202001,160020,HOSPITAL MILITAR DE ÁREA DE MANAUS,Manaus/AM,"CONTRATAÇÃO DE SERVIÇOS PARA PRESTAÇÃO COMPLEMENTAR DE ASSISTÊNCIA MÉDICO-HOSPITALAR NAS ESPECIALIDADES BÁSICAS, POR ESPECIALISTAS E/OU OUTRAS ESPECIALIDADES MÉDICAS, DISPONDO DE SERVIÇOS DE URGÊNCIA/EMERGÊNCIA, UNIDADES DE TERAPIA INTENSIVA, SERVIÇOS MATERNO-INFANTIL E SERVIÇOS DE APOIO AO DIAGNOSTICO (LABORATORIAL E IMAGEM), NAS AÇÕES DE ENFRENTAMENTO DA EMERGÊNCIA EM SAÚDE PÚBLICA DE IMPORTÂNCIA NACIONAL (ESPIN), EM DECORRÊNCIA DA INFECÇÃO HUMANA PELO NOVO CORONAVÍRUS.",1,0,3451500
29/2020,Dispensa de Licitação,64576004944202076,160088,HOSPITAL MILITAR DE ÁREA DE BRASÍLIA,Brasília/DF,"SERVIÇO DE GERENCIAMENTO TÉCNICO ADMINISTRATIVO, FORNECIMENTO DE MÃO DE OBRA, RECURSOS MATERIAIS, INSUMOS, MANUTENÇÃO PREVENTIVA E CORRETIVA DE EQUIPAMENTOS E OUTROS NECESSÁRIOS PARA O FUNCIONAMENTO DE 10 (DEZ) LEITOS DO CENTRO DE TERAPIA INTENSIVA (CTI) DO HMAB, POR UM PERÍODO INICIAL DE 06 (SEIS) MESES, EM CARÁTER EMERGENCIAL DE SAÚDE PÚBLICA, DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO NOVO CORONAVÍRUS. ",1,0,3373830
17/2020,Dispensa de Licitação,64447010200202066,160069,COMANDO LOGISTICO,Brasília/DF,"AQUISIÇÃO DE MEDICAMENTOS. ",6,0,2032280
