Compra,Modalidade da Compra,Processo,Código da UASG,Nome da UASG,Município/UF,Objeto,Itens,Contratos,Valor Total da Compra
77/2020,Dispensa de Licitação,67106000867202018,120195,CENTRO DE AQUISIÇÕES ESPECIFICAS,Rio de Janeiro/RJ,"AQUISIÇÃO EMERGENCIAL DE UNIDADES DE TESTE DIAGNÓSTICO PARA CORONA VIRUS - COVID-19, MÉTODO IMUNOCROMATOGRAFIA",1,1,2618000
5/2020,Dispensa de Licitação,67564029960202007,120623,BASE AÉREA DOS AFONSOS,Rio de Janeiro/RJ,"CONTRATAÇÃO DE SERVIÇO DE ENGENHARIA PARA RECUPERAÇÃO DO TERCEIRO ANDAR DO HAAF, EM ATENDIMENTO AS NECESSIDADES ADVINDAS DA PANDEMIA DO COVID-19.",1,1,1890628.73
15/2020,Dispensa de Licitação,67215039690202002,120628,BASE AÉREA DE BELÉM,Belém/PA,"EXECUÇÃO DOS SERVIÇOS DE LIMPEZA E CONSERVAÇÃO, COM REGIME DE DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA E FORNECIMENTO DE TODO O MATERIAL DE CONSUMO, INSUMOS E EQUIPAMENTOS NECESSÁRIOS À EXECUÇÃO DOS SERVIÇOS, PARA O HOSPITAL DE AERONÁUTICA DE BELÉM – HABE",1,1,1219066.44
6/2020,Dispensa de Licitação,67564029962202098,120623,BASE AÉREA DOS AFONSOS,Rio de Janeiro/RJ,"CONTRATAÇÃO DE SERVIÇO DE ENGENHARIA PARA RECUPERAÇÃO DO SEGUNDO ANDAR DO HAAF, PARA ATENDIMENTO DAS NECESSIDADES ADVINDAS DO COVID-19",1,1,1089860.52
129/2020,Dispensa de Licitação,67106001846202010,120195,CENTRO DE AQUISIÇÕES ESPECIFICAS,Rio de Janeiro/RJ,TOMÓGRAFO COMPUTADORIZADO DE 32 CANAIS,1,0,1042000
132/2020,Dispensa de Licitação,67106001954202084,120195,CENTRO DE AQUISIÇÕES ESPECIFICAS,Rio de Janeiro/RJ,AQUISIÇÃO DE TOMÓGRAFO COMPUTADORIZADO DE 32 CANAIS.,1,0,1012900
12/2020,Dispensa de Licitação,67289002808202075,120625,GRUPAMENTO DE APOIO DO DF,Brasília/DF,A AQUISIÇÃO DE EQUIPOS PARA BOMBAS DE INFUSÃO VOLUMÉTRICA VISA O ATENDIMENTO AOS PACIENTES DIAGNOSTICADOS COM O NOVO CORONAVÍRUS (SARS-COV-2) QUE SERÃO ASSISTIDOS PELO HOSPITAL DE FORÇA AÉREA DE BRASÍLIA (HFAB).,6,0,954000
4/2020,Dispensa de Licitação,67564029958202020,120623,BASE AÉREA DOS AFONSOS,Rio de Janeiro/RJ,"SERVIÇO DE ENGENHARIA PARA RECUPERAÇÃO DO TELHADO DO TERCEIRO ANDAR DO HAAF, PARA ENFRENTAMENTO A PANDEMIA COVID-19  ",1,1,896218.08
14/2020,Dispensa de Licitação,67215039690202002,120628,BASE AÉREA DE BELÉM,Belém/PA,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA DE SERVIÇOS DE LIMPEZA E CONSERVAÇÃO, COM REGIME DE DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA E TODO O MATERIAL DE CONSUMO, INSUMOS E EQUIPAMENTOS NECESSÁRIOS À EXECUÇÃO DOS SERVIÇOS, PARA ATENDER O HOSPITAL DE AERONÁUTICA DE BELÉM – HABE, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS ESTABELECIDOS NA PROPOSTA, A QUAL INTEGRA ESTE INSTRUMENTO, INDEPENDENTE DE TRANSCRIÇÃO.",1,0,609533.22
40/2020,Dispensa de Licitação,67438005973202028,120633,GRUPAMENTO DE APOIO DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL – MÁSCARA RESPIRADOR N95 E AVENTAL DESCARTÁVEL,2,0,409500
55/2020,Dispensa de Licitação,67550013068202055,120634,GRUPAMENTO DE APOIO DE BARBACENA,Barbacena/MG,"CONTRATAÇÃO DE SERVIÇO EMERGENCIAL DE LIMPEZA, ASSEIO E CONSERVAÇÃO NA EDIFICAÇÃO H-8 DA ESCOLA PREPARATÓRIA DE CADETES DO AR, SEMELHANTE A HIGIENIZAÇÃO HOSPITALAR,FINS DE CONTROLE PANDÊMICO DA COVID-19,PELO PERÍODO DE 6 (SEIS) MESES.",1,1,384020.86
121/2020,Dispensa de Licitação,67106001735202003,120195,CENTRO DE AQUISIÇÕES ESPECIFICAS,Rio de Janeiro/RJ,AQUISIÇÃO DE TESTES PARA DIAGNÓSTICO DE COVID-19.,1,0,361250
9/2020,Dispensa de Licitação,67289002440202045,120625,GRUPAMENTO DE APOIO DO DF,Brasília/DF,"A AQUISIÇÃO DE EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL HOSPITALAR VISA À PROTEÇÃO DOS PROFISSIONAIS DO HOSPITAL DE FORÇA AÉREA DE BRASÍLIA (HFAB), RESPONSÁVEIS PELOS ATENDIMENTOS E ASSISTÊNCIA À SAÚDE NO ENFRETAMENTO À PANDEMIA MUNDIAL INSTAURADA POR MOTIVO DO COVID-19, CONFORME DECLARAÇÃO DA ORGANIZAÇÃO MUNDIAL DE SAÚDE (OMS).",2,0,308080
34/2020,Dispensa de Licitação,67278035145202002,120629,BASE AÉREA DE CANOAS,Canoas/RS,AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS DE CONSUMO PARA CONTINUIDADE AO ENFRENTAMENTO À PANDEMIA DA COVID-19.,5,0,292130.35
31/2020,Dispensa de Licitação,67106000948202018,120195,CENTRO DE AQUISIÇÕES ESPECIFICAS,Rio de Janeiro/RJ,AQUISIÇÃO DE EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL (EPI) E CONSUMÍEIS PARA ENFRENTAMENTO DO CORONAVÍRUS.,4,0,291948.5
70/2020,Dispensa de Licitação,67441006363202092,120634,GRUPAMENTO DE APOIO DE BARBACENA,Barbacena/MG,"PRESTAÇÃO DE SERVIÇOS DE AMPLIAÇÃO DA REDE DE DISTRIBUIÇÃO DE GASES MEDICINAIS (OXIGÊNIO, AR COMPRIMIDO E VÁCUO), FINS DE ENFRENTAMENTO DA COVID-19, COM A SUBSTITUIÇÃO DA CENTRAL DE OXIGÊNIO E FORNECIMENTO DE BOMBA A VÁCUO, COMPRESSOR DE AR COMPRIMIDO E OS DEMAIS MATERIAIS NECESSÁRIOS PARA A EXECUÇÃO DO PROJETO DE ENGENHARIA, A FIM DE ATENDER O ESQUADRÃO DE SAÚDE DE BARBACENA.",1,1,272980
154/2020,Dispensa de Licitação,67438016897202086,120633,GRUPAMENTO DE APOIO DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE LUVAS DE PROCEDIMENTO (COVID-19),2,0,254280
13/2020,Dispensa de Licitação,67437005184202005,120632,BASE AEREA DE RECIFE,Recife/PE,AQUISIÇÃO DE MATERIAL MÉDICO-HOSPITALAR PARA ATENDER ÀS NECESSIDADES DO HARF PARA ENFRENTAMENTO DA COVID-19,3,0,241000
41/2020,Dispensa de Licitação,67289004027202015,120625,GRUPAMENTO DE APOIO DO DF,Brasília/DF,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ESTERILIZAÇÃO À BAIXA TEMPERATURA POR ÓXIDO DE ETILENO, PARA MATERIAIS MÉDICO-HOSPITALARES TERMOS SENSÍVEIS, SOB DEMANDA, PARA ATENDER AS NECESSIDADES DA CENTRAL DE MATERIAL E ESTERILIZAÇÃO DO HOSPITAL DE FORÇA AÉREA DE BRASÍLIA (HFAB).",1,0,224262
81/2020,Dispensa de Licitação,67106001153202019,120195,CENTRO DE AQUISIÇÕES ESPECIFICAS,Rio de Janeiro/RJ,"AQUISIÇÃO DE EQUIPAMENTO DE PROTEÇÃO INDIVIDUAL, PARA FINS DE ENFRENTAMENTO DA EMERGÊNCIA DE  SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO NOVO CORONAVÍRUS, CAUSADOR DA  COVID-19, PARA O SISTEMA DE SAÚDE DA AERONÁUTICA",1,0,224000
33/2020,Dispensa de Licitação,67106000948202018,120195,CENTRO DE AQUISIÇÕES ESPECIFICAS,Rio de Janeiro/RJ,AQUISIÇÃO DE EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL (EPI) PARA ENFRENTAMENTO DO CORONAVÍRUS,4,0,192500
44/2020,Dispensa de Licitação,67215042789202083,120628,BASE AÉREA DE BELÉM,Belém/PA,AQUISIÇÃO DE MATERIAL DE PROTEÇÃO INDIVIDUAL E HIGIENIZAÇÃO NO COMBATE À COVID-19 (LEI 13.979/2020),6,0,187600
