Status,Data,Código do Item,CNPJ,Razão Social,Descrição do Item,Unidade de Fornecimento,Quantidade,Valor Unitário,Valor Total do Item
Encerrado,3 de dez. de 2020,7827000600058202000001,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",ENOXAPARINA,SERINGA,800,29,23200
Encerrado,3 de dez. de 2020,7827000600058202000002,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",OMEPRAZOL,FRASCO-AMPOLA,500,36,18000
Encerrado,3 de dez. de 2020,7827000600058202000003,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",ENOXAPARINA,SERINGA,100,27,2700
Encerrado,3 de dez. de 2020,7827000600058202000004,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",AZITROMICINA,COMPRIMIDO,500,2.35,1175
Encerrado,27 de nov. de 2020,7847000600002202000001,58295213002111,PHILIPS MEDICAL SYSTEMS LTDA,TOMÓGRAFO,UNIDADE,1,995000,995000
Encerrado,19 de nov. de 2020,7657410600018202000001,61154480000130,ALCOOL FERREIRA S A,ÁLCOOL ETÍLICO,LITRO,16280,6.91,112494.8
Encerrado,26 de out. de 2020,7915000600191202000001,74199126000173,YAMAZERY COMERCIO E SERVICOS LTDA,BARRACA ACAMPAMENTO,UNIDADE,5,440,2200
Outros,21 de out. de 2020,7657200600035202000001,63067904000669,LIFE TECHNOLOGIES BRASIL COMERCIO E INDUSTRIA DE PRODUTOS PARA BIOTECNOLOGIA LTD,TERMOCICLADOR,UNIDADE,1,228550,228550
Outros,20 de out. de 2020,7710000600047202000001,33175084000153,LANG E FILHOS MATERIAL HOSPITALAR LTDA,REAGENTE PARA DIAGNÓSTICO CLÍNICO 7,UNIDADE,18000,21.89,394020
Encerrado,20 de out. de 2020,7827000600017202000001,2771487000131,NORDESTE EPI COMERCIO DE EQUIPAMENTOS INDUSTRIAIS LTDA,SAPATILHA HOSPITALAR,PAR,60,65,3900
Encerrado,16 de out. de 2020,7858100603081202000001,3247249000194,TATIANA FISS GARCEZ & CIA.LTDA.,MANGUEIRA COMBATE INCÊNDIO,UNIDADE,8,315,2520
Encerrado,16 de out. de 2020,7827000600057202000007,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",ESCOPOLAMINA BUTILBROMETO,COMPRIMIDO,150,5.5,825
Encerrado,16 de out. de 2020,7827000600057202000004,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",DEXAMETASONA,AMPOLA,350,1.95,682.5
Encerrado,16 de out. de 2020,7827000600057202000009,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",AZITROMICINA,COMPRIMIDO,120,2.3,276
Encerrado,16 de out. de 2020,7827000600057202000003,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",COLAGENASE,BISNAGA,11,18.5,203.5
Encerrado,16 de out. de 2020,7827000600057202000001,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",CLONIDINA CLORIDRATO,COMPRIMIDO,30,0.45,13.5
Encerrado,16 de out. de 2020,7827000600057202000010,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",PROXIMETACAÍNA CLORIDRATO,FRASCO,1,9.9,9.9
Encerrado,16 de out. de 2020,7827000600057202000005,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",CLONIDINA CLORIDRATO,COMPRIMIDO,30,0.25,7.5
Encerrado,16 de out. de 2020,7827000600057202000006,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",VITAMINAS DO COMPLEXO B,COMPRIMIDO,23,0.15,3.45
Encerrado,16 de out. de 2020,7827000600057202000008,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",DIMETICONA,COMPRIMIDO,15,0.16,2.4
Encerrado,16 de out. de 2020,7827000600057202000002,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",ISOSSORBIDA,COMPRIMIDO,4,0.2,0.8
Encerrado,15 de out. de 2020,7657410600008202000002,58752460000156,SHIMADZU DO BRASIL COMERCIO LTDA.,PEÇA EQUIPAMENTO LABORATÓRIO,UNIDADE,1,281000,281000
Encerrado,15 de out. de 2020,7657410600008202000001,58752460000156,SHIMADZU DO BRASIL COMERCIO LTDA.,EQUIPAMENTO LABORATÓRIO,UNIDADE,1,231398.4,231398.4
Encerrado,15 de out. de 2020,7955000600293202000001,31884913000141,A C S DE OLIVEIRA MATERIAL DE INFORMATICA E PAPELARIA EIRELI,DISCO MAGNÉTICO,UNIDADE,2,359.4,718.81
Encerrado,15 de out. de 2020,7955000600294202000001,31884913000141,A C S DE OLIVEIRA MATERIAL DE INFORMATICA E PAPELARIA EIRELI,DISCO MAGNÉTICO,UNIDADE,1,538.19,538.19
Encerrado,15 de out. de 2020,7955000600296202000001,31884913000141,A C S DE OLIVEIRA MATERIAL DE INFORMATICA E PAPELARIA EIRELI,DISCO MAGNÉTICO,UNIDADE,1,419,419
Encerrado,14 de out. de 2020,7955000600289202000001,61198164000160,PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,PAGAMENTO COBERTURAS SEGURO VEÍCULO,UNIDADE,3,5258.69,15776.07
Outros,14 de out. de 2020,7955000600292202000001,185997000100,NOVO HORIZONTE JACAREPAGUA IMPORTACAO E EXPORTACAO LTDA,LOCAÇÃO CONTEINER (CONTAINER),UNIDADE,1,6100,6100
Encerrado,14 de out. de 2020,7883400600181202000002,15857873000192,RONDONIA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA,LUVA DE PROTEÇÃO,PAR,8,25.9,207.2
Encerrado,14 de out. de 2020,7883400600181202000003,15857873000192,RONDONIA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA,LUVA DE PROTEÇÃO,PAR,7,25.9,181.3
Encerrado,14 de out. de 2020,7883400600181202000001,15857873000192,RONDONIA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA,BORRIFADOR,UNIDADE,5,32.5,162.5
Outros,13 de out. de 2020,7657200600064202000002,11909227000251,PROMEGA BIOTECNOLOGIA DO BRASIL LTDA.,REAGENTE PARA DIAGNÓSTICO CLÍNICO 6,TESTE,209,1850,386650
Outros,13 de out. de 2020,7657200600064202000001,11909227000251,PROMEGA BIOTECNOLOGIA DO BRASIL LTDA.,CONJUNTO PARA ANÁLISE,UNIDADE,10,8281,82810
Encerrado,13 de out. de 2020,7955000600282202000001,24035925000136,SILMAQUINAS E EQUIPAMENTOS LTDA,GRUPO MOTOR-GERADOR,UNIDADE,1,5200,5200
Encerrado,13 de out. de 2020,7955000600283202000001,26168952000102,VIA COMERCIO E REPRESENTACAO DE INFORMATICA EIRELI,NOTEBOOK,UNIDADE,1,2300,2300
Encerrado,13 de out. de 2020,7955000600288202000001,3759748000160,"NOVA ERA SUL COMERCIO, REPRESENTACAO E SERVICO LTDA.",CABO REDE COMPUTADOR,CAIXA,4,418,1672
Encerrado,13 de out. de 2020,7955000600284202000001,26168952000102,VIA COMERCIO E REPRESENTACAO DE INFORMATICA EIRELI,NOTEBOOK,UNIDADE,1,1500,1500
Encerrado,13 de out. de 2020,7827000600056202000007,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",NITROGLICERINA,FRASCO,20,33,660
Encerrado,13 de out. de 2020,7827000600056202000003,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",GLICONATO DE CÁLCIO,AMPOLA,200,3,600
Encerrado,13 de out. de 2020,7827000600056202000013,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",METOPROLOL,COMPRIMIDO,180,1.8,324
Encerrado,13 de out. de 2020,7827000600056202000005,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",BICARBONATO DE SÓDIO,FRASCO,10,29.8,298
Encerrado,13 de out. de 2020,7827000600056202000001,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",CLOPIDOGREL,COMPRIMIDO,420,0.6,252
Encerrado,13 de out. de 2020,7827000600056202000030,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",METOPROLOL,COMPRIMIDO,360,0.7,252
Encerrado,13 de out. de 2020,7827000600056202000002,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",FLUMAZENIL,AMPOLA,20,12.2,244
Encerrado,13 de out. de 2020,7827000600056202000004,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",BICARBONATO DE SÓDIO,AMPOLA,200,1.2,240
Encerrado,13 de out. de 2020,7827000600056202000020,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",QUETIAPINA,COMPRIMIDO,300,0.75,225
Encerrado,13 de out. de 2020,7827000600056202000027,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",LACTULOSE,FRASCO,31,7.1,220.1
Encerrado,13 de out. de 2020,7827000600056202000018,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",SUXAMETÔNIO CLORETO,FRASCO-AMPOLA,5,29.5,147.5
Encerrado,13 de out. de 2020,7827000600056202000009,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",CILOSTAZOL,COMPRIMIDO,180,0.8,144
Encerrado,13 de out. de 2020,7827000600056202000012,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",CLONIDINA CLORIDRATO,COMPRIMIDO,540,0.25,135
Encerrado,13 de out. de 2020,7827000600056202000029,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",ISOSSORBIDA,COMPRIMIDO,360,0.3,108
Encerrado,13 de out. de 2020,7827000600056202000008,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",SUXAMETÔNIO CLORETO,FRASCO-AMPOLA,5,20,100
Encerrado,13 de out. de 2020,7827000600056202000017,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",DESLANÓSIDO,AMPOLA,50,1.65,82.5
