Assistente;indice;link;data;titulo;primeiro paragrafo;tematica;tribo;regiao;estado;municipio
;1;https://operacaocovid19.defesa.gov.br/noticias/noticia/740;21/03/2020;Militares da Marinha atuam na retirada de passageiros de navio de cruzeiro em Recife;Como parte da Operação Covid-19 do Ministério da Defesa, a Marinha atuou, neste sábado (21), na retirada de passageiros de um navio de cruzeiro retido em Recife (PE), desde que um passageiro foi atestado com Covid-19. Militares especializados em Defesa Biológica, Nuclear, Química e Radiológica (DBNQR) foram empregados na missão.;Apoio Logístico;;Nordeste;PE;Recife
;2;https://operacaocovid19.defesa.gov.br/noticias/noticia/741;21/03/2020;Comando militar do sul inicia ações de apoio logístico contra o contágio e disseminação da Covid-19;Desde o dia 19 de março, o Comando Militar do Sul (CMS) mobilizou e ativou o seu Centro de Coordenação de Operações (CCOp/CMS), com o objetivo de proporcionar, inicialmente, apoio logístico aos governos dos estados do Paraná, Santa Catarina e Rio Grande do Sul, tudo para que a disseminação do novo coronavírus (COVID-19) possa ser contida e cause o mínimo de danos à saúde da população.;Apoio Logístico;;Sul;RS;Porto Alegre
;3;https://operacaocovid19.defesa.gov.br/noticias/noticia/742;21/03/2020;Centro de Operações Conjuntas do MD é ativado para ações de combate à COVID-19;O Ministério da Defesa ativou, na última sexta-feira (20), o Centro de Operações Conjuntas para atuar na coordenação e planejamento do emprego das Forças Armadas no combate à Covid-19. Foram ativados também dez Comandos Conjuntos, que cobrem todo o território nacional, além do Comando Aeroespacial (COMAE), de funcionamento permanente.;Apoio Logístico;;Centro-Oeste;DF;Brasília
;4;https://operacaocovid19.defesa.gov.br/noticias/noticia/743;21/03/2020;Defesa intensifica atuação de logística militar no combate à COVID-19;Por meio da Operação COVID-19, os militares das Forças Amadas iniciaram ações de apoio a órgãos públicos e à sociedade com foco no combate ao novo Coronavírus. Desde sexta-feira (20), Marinha, Exército e Aeronáutica atuam coordenados em função da ativação de um Centro de Operações Conjuntas (COC), situado no Ministério da Defesa (MD), em Brasília (DF), e dez Comandos Conjuntos, distribuídos por todo o território nacional.;Apoio Logístico;;Centro-Oeste;DF;Brasília
Guilherme de Oliveira Carneiro ;225;https://operacaocovid19.defesa.gov.br/noticias/noticia/964;20/04/2020;Adptação e produção de equeipamentos de proteção individual  ;O Parque Regional de Manutenção/6 (Pq R Mnt/6) iniciou no dia 14 de abril, a adaptação e a produção de Equeipamentos de Proteção Individual (EPI) para auxiliar no combate à pandemia da COVID-19 no âmbito da 6ª Região Militar.  ;Apoio de Saúde;;Nordeste;BA;Salvador 
Guilherme de Oliveira Carneiro ;226;https://operacaocovid19.defesa.gov.br/noticias/noticia/965;20/04/2020;Comando da Força Aeronaval e prefeituras da região promovem adestramento de desinfecção em combate ao coronavírus ;O Comando da Força Aeronaval realizou um treinamento teórico e prático em ação preventiva contra o novo coronavírus. O adestramento ocorreu no dia 17 de abril, em parceria com as Secretarias de Saúde das Prefeituras de São Pedro da Aldeia e Cabo Frio-RJ, concluindo com a desinfecção das áreas internas do Complexo Aeronaval. ;Apoio de Saúde;;Sudeste;RJ;São Pedro da Aldeia
Guilherme de Oliveira Carneiro ;227;https://operacaocovid19.defesa.gov.br/noticias/noticia/966;18/04/2020;Depósito de Combustíveis da Marinha no Rio de Janeiro promove distribuição de materiais para apoiar ações de prevenção e combate à Covid-19;O Depósito de Combustíveis da Marinha no Rio de Janeiro (DepCMRJ) tem contribuído para o esforço logístico despendido pela Marinha do Brasil nas ações relacionadas ao enfrentamento do Covid-19, ;Apoio Logístico;;Sudeste;RJ;Rio de Janeiro
Guilherme de Oliveira Carneiro ;228;https://operacaocovid19.defesa.gov.br/noticias/noticia/967;18/04/2020;Marinha do Brasil qualifica militares e Forças de Segurança para combate à Covid-19 no litoral do Paraná ;"A Capitania dos Portos do Paraná qualificou militares e integrantes de Forças de Segurança para combater a proliferação da Covid-19 no Litoral do Paraná com a realização do ""Estágio de Capacitação NBQR para Militares Não Especializados, com ênfase em descontaminação de agente biológicos e utilização de Equipamento de Proteção Individual (EPI)"". ";Apoio de Saúde;;Sul;PR;Paranaguá
Guilherme de Oliveira Carneiro ;229;https://operacaocovid19.defesa.gov.br/noticias/noticia/968;23/04/2020;Ministro da Defesa acompanha atuação do Comando Conjunto Sul na Operação Covid-19 ;O ministro da Defesa, Fernando Azevedo, visitou nesta quinta-feira (23) o Centro de Coordenação de Operações do Comando Conjunto Sul da Operação Covid-19. Ao desembarcar na Ala 3, em Canoas (RS), ele acompanhou demonstração de equipamentos utilizados durante a operação Covid-19 pelo Comando Conjunto Sul  ;Coordenação;;Sul;RS;Porto Alegre
Guilherme de Oliveira Carneiro ;230;https://operacaocovid19.defesa.gov.br/noticias/noticia/969;24/04/2020;Captania Fluvial do Araguaia-Tocantins doa mais de 200 kits de alimentos a alunos do Profesp no Tocantins ;No dia 17 de abril, o Comando do 7º Distrito Naval, por intermédio da Capitania Fluvial do Araguaia-Tocantins (CFAT), iniciou a entrega de 210 kits  de alimentação às familias de crianças e adolescentes do Programa Forças no Esporte (Profesp) em Palmas-TO.;Alimentação;;Norte;TO;Palmas
Guilherme de Oliveira Carneiro ;231;https://operacaocovid19.defesa.gov.br/noticias/noticia/970;24/04/2020;BASP distribui alimentos a integrantes de Programa Social;Seguindo as diretrizes do Ministério da Defesa, a Base Aérea de São Paulo (BASP) deu início, nesta quarta-feira (22), à distribuição de cestas básicas aos alunos do Programa Forças no Esporte (PROFESP) da Organização Militar, que beneficiará ao todo 250 famílias. ;Alimentação;;Sudeste;SP;
Guilherme de Oliveira Carneiro ;232;https://operacaocovid19.defesa.gov.br/noticias/noticia/971;24/04/2020;DISTRIBUIÇÃO DE KITS DE ALIMENTAÇÃO ;No dia 22 de abril, o 14º Batalhão Logísticos, coordenado pelo Comando Conjunto Nordeste, realizou a entrega de 60 kits de alimentação às famílias dos alunos da Escola Pública Estadual Carmela Dutra, cadastrados no Programa Forças no Esporte (PROFESP), do Ministério da Defesa (MD). ;Alimentação;;Nordeste;PE;Recife 
Guilherme de Oliveira Carneiro ;233;https://operacaocovid19.defesa.gov.br/noticias/noticia/972;23/04/2020;EAMSC entrega kits de alimentos para famílias de crianças e adolescentes participantes do Profesp ;A Escola de Aprendizes-Marinheiros de Santa Catarina (EAMSC) iniciou, em 16 de abril, em suas dependências, a distribuição de kits de alimentos às famílias dos jovens atendidos pelo Programa Forças no Esporte (Profesp). ;Alimentação;;Sul;SC;Florianópolis 
Guilherme de Oliveira Carneiro ;234;https://operacaocovid19.defesa.gov.br/noticias/noticia/973;23/04/2020;Hospital de Força Aérea de São Paulo institui mudanças para enfrentar a COVID-19;Profissionais do Hospital de Força Aérea de São Paulo (HFASP) instituiram mudanças em sua estrutura, além de elaborarem protocolos e fluxos de atendimentos para se adequarem às medidas de enfrentamento à pandemia do novo Coronavírus. A intenção é cuidar e levar assistência aos doentes, feforçando a importância de sua missão na luta contra a disseminação e tratamento dos pacientes. ;Apoio de Saúde;;Sudeste;SP;São Paulo
Julia Aroni Silva ;335;https://operacaocovid19.defesa.gov.br/noticias/noticia/1074;02/05/2020;FAB transporta para Manaus 452 mil EPIs doados pela Fundação Itaú;Para ajudar o estado do Amazonas (AM) no enfrentamento ao coronavírus, dois KC-390 Millenium, da Força Aérea Brasileira (FAB) transportaram hoje (02) cerca de 452 mil Equipamentos de Proteção Individual (EPI’s) para Manaus.;Apoio de Saúde;;Centro-Oeste;DF;Brasília
Julia Aroni Silva ;335;https://operacaocovid19.defesa.gov.br/noticias/noticia/1076;01/05/2020;Comando do 9º Distrito Naval realiza descontaminação na Fundação Centro de Controle de Oncologia, no Amazonas;A Equipe de Resposta Nuclear, Biológica, Química e Radiológica (EqRspNBQR), conduzida pelo 1º Batalhão de Operações Ribeirinhas, subordinado ao Comando do 9º Distrito Naval (Com9ºDN), realizou, no dia 29 de abril, a descontaminação das dependências da Fundação Centro de Controle de Oncologia do Estado do Amazonas (FCECON), em Manaus-AM.;Higienização;;Norte;AM;Manaus
Julia Aroni Silva ;335;https://operacaocovid19.defesa.gov.br/noticias/noticia/1077;30/04/2020;TRANSPORTE E ENTREGA DE CESTAS BÁSICAS;No dia 29 de abril, o 2º Regimento de Cavalaria Mecanizado (2° RC Mec) apoiou a 35ª Coordenadoria Regional de Educação (35ª CRE) no transporte e entrega de cestas básicas a escolas estaduais do município.;Alimentação;;Sul;RS;São Borja
Julia Aroni Silva ;339;https://operacaocovid19.defesa.gov.br/noticias/noticia/1078;03/05/2020;Bandas militares levam alegria e espalham esperança com música;A música está ligada às ações militares, não só como meio de comunicação, mas também como elemento psicológico, levando ânimo às tropas e atemorizando o inimigo. Durante a movimentação de guerra, os grupos de soldados eram facilmente identificados com suas cores e bandeiras, mas em meio ao fogo da batalha, a obscuridade impossibilitava reconhecê-los. Com isso, a música marcial era o que distinguia o amigo do inimigo.;Apoio de Saúde;;;;Jaboatão dos Guararapes
